Country or region,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Total CO2 Emissions,Country Code,Schizophrenia Disorders (% of population),Depressive Disorders (% of population),Anxiety Disorders (% of population),Bipolar Disorders (% of population),Eating Disorders (% of population),Coal,Oil,Gas,Cement,Flaring,Per Capita,Income Group,Continent,Mental Health Burden,Social Resilience,Happiness Efficiency,Sustainable Happiness Index,Inequality and Pressure Index,Resilient Happiness,Happiness Level,Happiness-Income Group,Log CO2 Emissions
Afghanistan,3.203,496.6025042585,0.517,0.361,0.0,0.158,0.025,11.081621,AFG,0.21777739,4.945168,4.8510346,0.6996446,0.117413975,3.954767,6.842956,0.245569,0.038329,0.0,0.293401,Low Income,Asia,10.831038564999998,0.675,0.00644982651624471,0.14617121169152797,1.0691251491426101,0.43810989654482735,Unhappy,Unhappy & Low Income,2.491685372245887
Albania,4.719,5460.42823730592,0.848,0.874,0.383,0.178,0.027,4.947485,ALB,0.2875006,2.4602032,3.8375373,0.5420086,0.1366484,0.322432,3.440496,0.131904,1.048179,0.004474,1.721533,Lower-Middle Income,Europe,7.2638981000000005,1.4089999999999998,0.0008642179321686814,0.3864427118005986,0.6462363416511129,0.46107252224681666,Unhappy,Unhappy & Lower-Middle Income,1.7829684411236995
Algeria,5.211,4468.45341883656,1.16,0.785,0.086,0.073,0.114,179.504831,DZA,0.24913543,4.1296806,4.771976,0.7562755,0.2106033,1.095512,59.157648,91.24992,11.028039,16.973712,4.203332,Lower-Middle Income,Africa,10.117670830000002,1.319,0.0011661752986018093,0.02748091576532281,1.0704358237753258,0.39047724609637613,Unhappy,Unhappy & Lower-Middle Income,5.195757541957708
Argentina,6.086,9955.97478680428,1.432,0.881,0.471,0.066,0.05,178.511615,ARG,0.31154236,2.4075098,4.982973,1.039092,0.33220056,2.14344,74.848192,95.608416,4.140926,1.77064,3.989486,Upper-Middle Income,South America,9.07331772,1.969,0.0006112912226401405,0.03244397037519166,0.5978414431270584,0.34065919284363944,Neutral,Neutral & Upper-Middle Income,5.190239913355784
Armenia,4.559,4597.22887399548,1.055,0.815,0.283,0.095,0.064,6.28411,ARM,0.28262022,2.9836516,3.1505976,0.541465,0.12600231,0.010992,1.04424,4.887776,0.341102,0.0,2.227932,Lower-Middle Income,Europe,7.0843367299999995,1.4329999999999998,0.0009916843657248123,0.34102690402836355,0.783907935866674,0.4490805088558792,Unhappy,Unhappy & Lower-Middle Income,1.9856952633438651
Australia,7.228,54972.7017885437,1.548,1.036,0.557,0.332,0.29,416.356588,AUS,0.3886459,4.382458,5.8151646,1.1250612,1.0316882,164.471156,143.084851,81.693703,3.039547,20.199247,16.419679,High Income,Oceania,12.743017899999998,2.437,0.00013148344114144147,0.01684457384862865,0.7408056852208311,0.23275033864915623,Happy,Happy & High Income,6.033940983484247
Austria,7.246,49885.9947355204,1.475,1.016,0.532,0.244,0.226,67.936185,AUT,0.27674544,3.125201,6.0064344,0.90043485,0.5622296,13.005251,34.087326,17.792615,1.770523,0.118253,7.650523,High Income,Europe,10.87104529,2.2510000000000003,0.00014525118800208308,0.09194587823142238,0.6955797465943659,0.29610894682024097,Happy,Happy & High Income,4.233181221582466
Azerbaijan,5.208,4805.75371765917,1.147,0.769,0.351,0.035,0.182,37.737892,AZE,0.2827107,2.7526312,2.4775383,0.52214134,0.1438001,0.003664,12.097433,24.121592,1.096472,0.418732,3.687951,Lower-Middle Income,Europe,6.17882164,1.533,0.001083700977197966,0.11858810845209682,0.8401383612686235,0.5498233274739103,Unhappy,Unhappy & Lower-Middle Income,3.6568182424560187
Bahrain,6.199,27259.7438599327,1.368,0.871,0.536,0.255,0.11,37.813682,BHR,0.27094802,4.5280886,4.937836,0.78144014,0.2906812,0.0,3.748272,33.129888,0.6147,0.320822,25.307178,High Income,Asia,10.80899396,2.1590000000000003,0.00022740492470699628,0.12749195468179658,0.5757836805881168,0.2656340353482663,Neutral,Neutral & High Income,3.658772813336261
Bangladesh,4.456,2129.79896954606,0.928,0.723,0.527,0.166,0.143,91.657423,BGD,0.27618745,4.6198096,3.1809232,0.38930306,0.11529978,15.003548,16.780525,58.372777,1.473934,0.02664,0.553767,Lower-Middle Income,Asia,8.581523090000001,1.621,0.002092216243747052,0.04445377943218956,0.6630649800865311,0.3203301314538722,Unhappy,Unhappy & Lower-Middle Income,4.528909068248424
Belarus,5.323,6837.76832136779,1.465,0.789,0.235,0.094,0.142,62.039493,BLR,0.2773241,3.824539,3.4831994,0.5208894,0.1341819,4.099648,18.036537,36.627932,2.276054,0.006333,6.413033,Upper-Middle Income,Europe,8.2401338,1.7940000000000003,0.0007784703648653624,0.07574029974786378,0.9172781526803677,0.3600806333444949,Unhappy,Unhappy & Upper-Middle Income,4.143761403004592
Belgium,6.923,46716.6227467964,1.504,0.986,0.473,0.16,0.21,99.432619,BEL,0.27416807,3.5420222,5.04724,0.90031374,0.4368189,13.192232,45.243127,36.199212,2.819306,0.116104,8.638376,High Income,Europe,10.20056291,2.137,0.00014819136300846461,0.06314694036412466,0.7393467702814095,0.31758916016213257,Happy,Happy & High Income,4.609487044930406
Benin,4.883,1130.82135304977,0.437,0.397,0.349,0.175,0.082,7.144053,BEN,0.21354277,4.447893,3.2288494,0.5455701,0.099465676,0.271136,6.379024,0.106256,0.387637,0.0,0.581269,Low Income,Africa,8.535320946,0.9610000000000001,0.004318100278908589,0.31142825069528446,0.7468654738909143,0.5953104147811485,Unhappy,Unhappy & Low Income,2.097287967645537
Bhutan,5.082,3576.87987077877,1.321,0.604,0.457,0.37,0.167,1.447063,BTN,0.28670922,4.024815,3.2678254,0.39228165,0.14370656,0.42136,0.571584,0.0,0.454119,0.0,1.885524,Lower-Middle Income,Asia,8.11533783,2.148,0.001420791355481986,0.5314564919780715,0.7126733916640924,0.2915370668813546,Unhappy,Unhappy & Lower-Middle Income,0.8948885299403143
Bolivia,5.779,3503.8960106182,1.209,0.706,0.511,0.137,0.064,23.239274,BOL,0.2665534,3.3994322,5.7405457,0.88712376,0.23742174,0.025648,12.754384,8.86688,1.537974,0.054388,1.973223,Lower-Middle Income,South America,10.531076800000001,1.8570000000000002,0.0016493069379020751,0.17112644266638768,0.5626379432202503,0.2955071618172405,Neutral,Neutral & Lower-Middle Income,3.187974210257539
Bosnia and Herzegovina,5.386,6122.3753450882,1.212,0.845,0.212,0.263,0.006,20.810377,BIH,0.2866613,2.7624497,3.5371947,0.5489406,0.13697994,15.33384,4.682592,0.428688,0.365257,0.0,6.192254,Upper-Middle Income,Europe,7.27222624,1.6869999999999998,0.0008797239137455085,0.19179133622228964,0.7985868803621343,0.4390195751084712,Unhappy,Unhappy & Upper-Middle Income,3.0823858657129275
